Model Name,Price
"OPPO A38 (Glowing Gold, 128 GB)","₹9,999"
"OPPO A38 (Glowing Black, 128 GB)","₹10,000"
"OPPO Reno 12 Pro 5G (Space Brown, 512 GB)","₹40,999"
"OPPO Reno 12 Pro 5G (Space Brown, 256 GB)","₹36,999"
"OPPO A59 5G (Silk Gold, 128 GB)","₹13,999"
"OPPO Reno 12 Pro 5G (Sunset Gold, 256 GB)","₹36,999"
"OPPO A59 5G (Starry Black, 128 GB)","₹15,499"
"OPPO A59 5G (Silk Gold, 128 GB)","₹15,499"
"OPPO A3 Pro 5G (Moonlight Purple, 256 GB)","₹19,999"
"OPPO Reno11 Pro 5G (Pearl White, 256 GB)","₹29,651"
"OPPO Reno11 Pro 5G (Rock Grey, 256 GB)","₹34,200"
"OPPO A78 (Aqua Green, 128 GB)","₹13,599"
"OPPO F27 Pro+ (Dusk Pink, 128 GB)","₹27,999"
"OPPO F25 Pro 5G (Coral Purple, 128 GB)","₹23,999"
"OPPO F27 Pro+ (Midnight Navy, 256 GB)","₹29,999"
"OPPO A78 (Mist Black, 128 GB)","₹15,499"
"OPPO A59 5G (Starry Black, 128 GB)","₹13,999"
"OPPO A3 Pro 5G (Starry Black, 128 GB)","₹17,999"
"OPPO F27 Pro+ (Dusk Pink, 256 GB)","₹29,999"
"OPPO F27 Pro+ (Midnight Navy, 128 GB)","₹27,999"
"OPPO A18 (Glowing Blue, 128 GB)","₹9,499"
"OPPO F25 Pro 5G (Ocean Blue, 128 GB)","₹23,999"
"OPPO A18 (Glowing Black, 64 GB)","₹8,999"
