Model Name from File 1,Price from File 1,Model Name from File 2,Price from File 2
Oppo A3 Pro 5G 256 GB 8 GB RAM Moonlight Purple Mobile Phone,19999,OPPO A3 Pro 5G Moonlight Purple 256 GB,19999
Oppo A3 Pro 5G 256 GB 8 GB RAM Moonlight Purple Mobile Phone,19999,OPPO F25 Pro 5G Coral Purple 128 GB,23999
Oppo F27 Pro Plus 5G 128 MB 8 GB RAM Dusk Pink Mobile Phone,27999,OPPO F27 Pro+ Dusk Pink 128 GB,27999
Oppo F27 Pro Plus 5G 128 MB 8 GB RAM Dusk Pink Mobile Phone,27999,OPPO F27 Pro+ Dusk Pink 256 GB,29999
Oppo A3 Pro 5G 128 GB 8 GB RAM Moonlight Purple Mobile Phone,17999,OPPO A3 Pro 5G Moonlight Purple 256 GB,19999
Oppo A3 Pro 5G 128 GB 8 GB RAM Moonlight Purple Mobile Phone,17999,OPPO F25 Pro 5G Coral Purple 128 GB,23999
Oppo F27 Pro Plus 5G 128 MB 8 GB RAM Midnight Navy Mobile Phone,27999,OPPO F27 Pro+ Midnight Navy 256 GB,29999
Oppo F27 Pro Plus 5G 128 MB 8 GB RAM Midnight Navy Mobile Phone,27999,OPPO F27 Pro+ Midnight Navy 128 GB,27999
Oppo F25 Pro 5G 128 GB 8 GB RAM Mobile Phone Ocean Blue,23999,OPPO F25 Pro 5G Ocean Blue 128 GB,23999
Oppo F27 Pro Plus 5G 256 MB 8 GB RAM Dusk Pink Mobile Phone,29999,OPPO F27 Pro+ Dusk Pink 128 GB,27999
Oppo F27 Pro Plus 5G 256 MB 8 GB RAM Dusk Pink Mobile Phone,29999,OPPO F27 Pro+ Dusk Pink 256 GB,29999
Oppo A59 5G 128 GB 4GB RAM Silk Gold Mobile Phone,13999,OPPO A59 5G Silk Gold 128 GB,13999
Oppo A59 5G 128 GB 4GB RAM Silk Gold Mobile Phone,13999,OPPO A59 5G Silk Gold 128 GB,15499
Oppo F27 Pro Plus 5G 256 MB 8 GB RAM Midnight Navy Mobile Phone,29999,OPPO F27 Pro+ Midnight Navy 256 GB,29999
Oppo F27 Pro Plus 5G 256 MB 8 GB RAM Midnight Navy Mobile Phone,29999,OPPO F27 Pro+ Midnight Navy 128 GB,27999
Oppo A59 5G 128 GB 6 GB RAM Silk Gold Mobile Phone,15499,OPPO A59 5G Silk Gold 128 GB,13999
Oppo A59 5G 128 GB 6 GB RAM Silk Gold Mobile Phone,15499,OPPO A59 5G Silk Gold 128 GB,15499
Oppo A59 5G 128 GB 6 GB RAM Starry Black Mobile Phone,15499,OPPO A59 5G Starry Black 128 GB,15499
