Model Name,Price
OPPO A38 Glowing Gold 128 GB,9999
OPPO A38 Glowing Black 128 GB,10000
OPPO Reno 12 Pro 5G Space Brown 512 GB,40999
OPPO Reno 12 Pro 5G Space Brown 256 GB,36999
OPPO A59 5G Silk Gold 128 GB,13999
OPPO Reno 12 Pro 5G Sunset Gold 256 GB,36999
OPPO A59 5G Starry Black 128 GB,15499
OPPO A59 5G Silk Gold 128 GB,15499
OPPO A3 Pro 5G Moonlight Purple 256 GB,19999
OPPO Reno11 Pro 5G Pearl White 256 GB,29651
OPPO Reno11 Pro 5G Rock Grey 256 GB,34200
OPPO A78 Aqua Green 128 GB,13599
OPPO F27 Pro+ Dusk Pink 128 GB,27999
OPPO F25 Pro 5G Coral Purple 128 GB,23999
OPPO F27 Pro+ Midnight Navy 256 GB,29999
OPPO A78 Mist Black 128 GB,15499
OPPO A59 5G Starry Black 128 GB,13999
OPPO A3 Pro 5G Starry Black 128 GB,17999
OPPO F27 Pro+ Dusk Pink 256 GB,29999
OPPO F27 Pro+ Midnight Navy 128 GB,27999
OPPO A18 Glowing Blue 128 GB,9499
OPPO F25 Pro 5G Ocean Blue 128 GB,23999
OPPO A18 Glowing Black 64 GB,8999
